Trial,ParticipantID,Fixation,Duration,PupilSize,PositionX,PositionY,StartTime,EndTime,Year,Task,ParticipantGender,SearchOrder,Item
1,2018-6_3_m2,19,505,1524,386.7,665.3,6468,6972,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,20,371,1543,414.3,651.2,6979,7349,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,21,1114,1532,455,621.8,7367,8480,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,22,591,1552,466.1,635.5,8626,9216,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,23,1190,1512,423.2,615.9,9224,10413,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,24,182,1539,466.7,608.1,10428,10609,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,25,332,1554,492.9,604.8,10617,10948,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,26,212,1557,526.8,628.9,10961,11172,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,27,158,1547,569.3,622.9,11186,11343,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,28,511,1534,538.4,609.2,11354,11864,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,29,549,1522,553.1,637.3,11878,12426,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,30,1537,1521,586.6,665.2,12438,13974,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,31,309,1585,648.5,687.5,13991,14299,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,32,375,1574,544.8,773,14328,14702,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,33,496,1541,739.7,758.8,14730,15225,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,34,351,1499,788.3,736.1,15244,15594,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,35,457,1505,795.4,691.3,15612,16068,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,36,344,1543,844.2,693.7,16080,16423,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,37,372,1549,805,683.7,16435,16806,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,38,311,1521,789.7,662.6,16817,17127,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,39,338,1487,763.1,656.6,17138,17475,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,40,462,1456,707.9,659.7,17491,17952,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,41,633,1460,725.9,644.2,17961,18593,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,42,774,1469,750.2,620.2,18602,19375,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,43,161,1435,786.3,625.1,19385,19545,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,44,1221,1376,759.5,615.3,19556,20776,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-6_3_m2,45,391,1363,735.2,593.4,20788,21178,2018,VisualSearch_Count,Male,2,sheep.jpg
1,2018-3_1_f1,4,161,1245,732.8,630,929,1089,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,5,300,1158,540.5,614.5,1117,1416,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,6,250,1170,447.2,811,1464,1713,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,7,405,1223,348.2,761.8,1738,2142,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,8,121,1232,351.4,809,2172,2292,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,9,266,1295,332.1,755.7,2315,2580,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,10,228,1267,1251.8,814.4,2660,2887,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,11,197,1257,1313,788.6,2906,3102,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,12,315,1168,1215.5,788.2,3126,3440,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,13,751,1213,1259.4,783.4,3452,4202,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,14,220,1275,1509.1,776.8,4262,4481,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,15,215,1278,1457.3,777.9,4500,4714,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,16,266,1251,1622.8,761.8,4758,5023,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2018-3_1_f1,17,144,1307,1627,745.1,5037,5180,2018,VisualSearch_Star,Female,1,sheep.jpg
1,2019-4_2_m12,1,332,2569,721.3,456,0,328,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,2,180,2473,688.1,608.5,380,556,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,3,240,1991,652.5,657.7,576,812,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,4,112,1938,259.3,709.7,868,976,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,5,156,1987,177.4,611.9,1008,1160,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,6,180,2052,150.3,593.4,1176,1352,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,7,368,2163,145.2,575.4,1368,1732,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,8,380,2281,178.7,571.3,1756,2132,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,9,212,2498,269.6,739.6,2184,2392,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,10,152,2521,548.6,777.1,2448,2596,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,11,220,2450,781,735,2636,2852,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,12,112,2413,736.4,747.9,2876,2984,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,13,336,2442,364.8,753,3040,3372,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,14,152,2539,182.2,729.1,3420,3568,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,15,104,2537,136.2,707.2,3588,3688,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,16,128,2577,1153.5,841.8,3784,3908,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,17,144,2585,1309.7,822.9,3956,4096,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,18,260,2483,1536.1,874.8,4148,4404,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,19,120,2371,1574.3,855.5,4440,4556,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,20,188,2378,1342.9,822.3,4592,4776,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,21,156,2394,1348.8,783.7,4804,4956,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,22,320,2340,1541.2,810.8,4996,5312,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,23,372,2397,1653.5,829.3,5344,5712,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,24,172,2518,1616.8,789.8,5732,5900,2019,VisualSearch_Star,Male,1,sheep.jpg
1,2019-4_2_m12,25,296,2663,1321.2,740.1,5948,6240,2019,VisualSearch_Star,Male,1,sheep.jpg
